person	riksdagid	pob
http://www.wikidata.org/entity/Q354112	5148293	http://www.wikidata.org/entity/Q11055815
http://www.wikidata.org/entity/Q5554537	0422439378601	http://www.wikidata.org/entity/Q10725765
http://www.wikidata.org/entity/Q5708858	0921399331707	
http://www.wikidata.org/entity/Q5713444	0689652394598	http://www.wikidata.org/entity/Q10485122
http://www.wikidata.org/entity/Q5714566	0683260207407	
http://www.wikidata.org/entity/Q5716747	060225811106	http://www.wikidata.org/entity/Q10418980
http://www.wikidata.org/entity/Q5723045	02010491012	
http://www.wikidata.org/entity/Q5737622	0126797549328	http://www.wikidata.org/entity/Q108876403
http://www.wikidata.org/entity/Q5743490	0424419397804	http://www.wikidata.org/entity/Q10576133
http://www.wikidata.org/entity/Q5796375	0475092656901	http://www.wikidata.org/entity/Q211652
http://www.wikidata.org/entity/Q5809040	0316345926026	http://www.wikidata.org/entity/Q10716051
http://www.wikidata.org/entity/Q5814651	0207814508895	http://www.wikidata.org/entity/Q10603788
http://www.wikidata.org/entity/Q5819783	0763857902700	
http://www.wikidata.org/entity/Q5886752	0327857385513	http://www.wikidata.org/entity/Q83682
http://www.wikidata.org/entity/Q5888467	0153777875118	
http://www.wikidata.org/entity/Q5896499	0972914963202	
http://www.wikidata.org/entity/Q5898640	0454447556218	http://www.wikidata.org/entity/Q233914
http://www.wikidata.org/entity/Q5901848	0831636664429	http://www.wikidata.org/entity/Q10670378
http://www.wikidata.org/entity/Q5907951	0296832736219	http://www.wikidata.org/entity/Q794
http://www.wikidata.org/entity/Q5925995	0102278739624	http://www.wikidata.org/entity/Q10498112
http://www.wikidata.org/entity/Q5925995	0168348837024	http://www.wikidata.org/entity/Q10498112
http://www.wikidata.org/entity/Q5930707	075043103804	http://www.wikidata.org/entity/Q10540465
http://www.wikidata.org/entity/Q5950878	0153040710006	
http://www.wikidata.org/entity/Q5956750	0641486384014	http://www.wikidata.org/entity/Q10728604
http://www.wikidata.org/entity/Q5957403	0457849683602	http://www.wikidata.org/entity/Q25411
http://www.wikidata.org/entity/Q5992996	0410190907901	http://www.wikidata.org/entity/Q10688953
http://www.wikidata.org/entity/Q6007973	0752691002718	http://www.wikidata.org/entity/Q54756
http://www.wikidata.org/entity/Q6009920	0430187508607	http://www.wikidata.org/entity/Q10549200
http://www.wikidata.org/entity/Q6019543	0894545562818	http://www.wikidata.org/entity/Q54339
http://www.wikidata.org/entity/Q6027267	0472349361027	http://www.wikidata.org/entity/Q306789
http://www.wikidata.org/entity/Q6033286	0353689520405	
http://www.wikidata.org/entity/Q6039297	0556347007015	
http://www.wikidata.org/entity/Q6043314	080652068106	
http://www.wikidata.org/entity/Q6043337	0818989495009	
http://www.wikidata.org/entity/Q6045408	0783865315601	http://www.wikidata.org/entity/Q10430709
http://www.wikidata.org/entity/Q6053983	0167049231801	
http://www.wikidata.org/entity/Q6062372	0925652297119	http://www.wikidata.org/entity/Q10498247
http://www.wikidata.org/entity/Q6072812	0136937107804	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q6079130	0258169509601	
http://www.wikidata.org/entity/Q6080471	0525247903009	http://www.wikidata.org/entity/Q10613018
http://www.wikidata.org/entity/Q6085404	0559791876105	
http://www.wikidata.org/entity/Q6091847	0286118205611	
http://www.wikidata.org/entity/Q6193547	0897334717419	http://www.wikidata.org/entity/Q10727632
http://www.wikidata.org/entity/Q6196053	02127524105	http://www.wikidata.org/entity/Q10509643
http://www.wikidata.org/entity/Q6199002	0987605799006	http://www.wikidata.org/entity/Q10498112
http://www.wikidata.org/entity/Q6203734	0560539480407	
http://www.wikidata.org/entity/Q6209165	0475759968705	
http://www.wikidata.org/entity/Q6210672	0959102638818	
http://www.wikidata.org/entity/Q6212236	0245320188502	http://www.wikidata.org/entity/Q10727562
http://www.wikidata.org/entity/Q6220743	0237055280513	http://www.wikidata.org/entity/Q10727064
http://www.wikidata.org/entity/Q6235935	0126076270500	http://www.wikidata.org/entity/Q10499548
http://www.wikidata.org/entity/Q6241709	0743231788202	http://www.wikidata.org/entity/Q2120552
http://www.wikidata.org/entity/Q6245387	076794009304	http://www.wikidata.org/entity/Q10532196
http://www.wikidata.org/entity/Q6255280	0879014196003	http://www.wikidata.org/entity/Q10562691
